player_name,psi_log_avg,psi_log_sr,psi_combined,rank
GJ Bailey,0.4034931046469787,0.1649410188162073,0.3239757427033882,165
JN Malan,0.41227149050014616,0.143767906869059,0.32277029595645046,166
BC Lara,0.4127763735331297,0.14252843080488184,0.3226937259570471,167
RS Bopara,0.4382066487829452,0.09159252425355369,0.322668607273148,168
Shaiman Anwar,0.4149262262582855,0.13808222880916265,0.3226448937752446,169
SS Iyer,0.4047414667860099,0.15459896016634359,0.32136063124612113,170
LS Livingstone,0.3773801279484414,0.20714459930331994,0.3206349517334009,171
RA Smith,0.4604480201727767,0.03755201747447038,0.3194826859400079,172
JC Buttler,0.37573829276429893,0.20334083201151618,0.3182724725133714,173
JP Duminy,0.43207946608571646,0.08416973660878097,0.3161095562600713,174
AGS Gous,0.38324223911606725,0.18015404011698238,0.3155461727830389,175
TLW Cooper,0.4173324404307968,0.10737318637920414,0.3140126890802659,176
R Trumpelmann,0.3769065489706127,0.186467520259193,0.3134268727334728,177
LJ Wright,0.36225565682234306,0.20565881497518987,0.3100567095399587,178
D Wiese,0.3735863190433744,0.18177094723673637,0.30964786177449505,179
BFW de Leede,0.44006990585044087,0.045950461766320734,0.30869675782240086,180
AD Hales,0.3852361897415942,0.1533455098643285,0.3079392964491723,181
Zawar Farid,0.3429599980108779,0.23226537136876116,0.3060617891301723,182
CD McMillan,0.3651621527978943,0.1847815365313787,0.3050352807090558,183
DA Warner,0.35514775962581263,0.20425670872736407,0.3048507426596631,184
MP O'Dowd,0.40720443979198995,0.09894953092991611,0.304452803504632,185
C Campher,0.4485393936168342,0.014511346550112885,0.3038633779279271,186
Vikramjit Singh,0.4093990451961833,0.09250031732192786,0.3037661359047648,187
GD Phillips,0.35252392675080874,0.20602540706926606,0.30369108685696117,188
S Joseph,0.3305403173445545,0.24682594709030573,0.3026355272598049,189
PL Mommsen,0.4101332834169955,0.08553439624553867,0.30193365435984326,190
Kashif Daud,0.33066649214687094,0.24441135259072513,0.301914778961489,191
MN van Wyk,0.39194268962883355,0.12182563361682523,0.3019036709581641,192
PP Shaw,0.30609525175644314,0.2902173094513883,0.30080260432142486,193
MJ Clarke,0.414958896357335,0.07115520734265034,0.30035766668577346,194
HL Carlyon,0.3733091648042314,0.1514546805632461,0.2993576700572363,195
AJ Lamb,0.400544407466736,0.09498453745599506,0.2986911174631557,196
JP Faulkner,0.37097514956774547,0.15113676642492344,0.2976956885201381,197
Saud Shakeel,0.3860963963696972,0.11910907067963142,0.2971006211396753,198
P Nissanka,0.4059813280693516,0.0786300239957139,0.29686422671147233,199
Ibrahim Zadran,0.44391189454851604,0.0023444476466940208,0.29672274558124206,200
CN Ackermann,0.3940324442095967,0.10157376044492171,0.2965462162880384,201
Towhid Hridoy,0.3866453202915023,0.1161447206017803,0.2964784537282616,202
YK Pathan,0.29942717253356493,0.28996245114126334,0.2962722654027978,203
JDP Oram,0.360833799976579,0.16511449744389475,0.2955940324656842,204
GA Gooch,0.4313928040251774,0.022518823570963943,0.2951014772071062,205
Rameez Shahzad,0.39683234719360866,0.08992092169122179,0.29452853869281304,206
Anshuman Rath,0.40006493614956257,0.08306512336884418,0.29439833188932313,207
CL White,0.38468489936253353,0.11128681700671013,0.2935522052439257,208
M Levitt,0.35245364400993723,0.17376194570076955,0.292889744573548,209
Azhar Ali,0.42375186850157287,0.02942435926042206,0.2923093654211893,210
DJ Cullinan,0.4076181042196417,0.05857966328406852,0.29127195724111726,211
VVS Laxman,0.40111443081481196,0.06625181460507504,0.2894935587448996,212
Gulsan Jha,0.3500510061002678,0.16794314421466294,0.28934838547173286,213
C Bosch,0.3810628924919673,0.10399693967272843,0.2887075748855543,214
SA Edwards,0.3549326045357266,0.15521207630719547,0.2883590951262162,215
YS Samra,0.36031097842765913,0.14311605977171166,0.28791267220900996,216
C de Grandhomme,0.291235195667095,0.2755845777572946,0.28601832303049485,217
DC Boon,0.43828266806668714,-0.020621712995610178,0.28531454104592135,218
RL Chase,0.4038058754898443,0.046383465998002825,0.28466507232589716,219
IR Bell,0.39732362575436414,0.05834099534197732,0.2843294156169019,220
J Liyanage,0.382591633558597,0.08634108635054767,0.2838414511559139,221
WJ Cronje,0.3973754068714771,0.05401475374993737,0.28292185583096385,222
Younis Khan,0.37512830023667326,0.09742597071691729,0.28256085706342127,223
IT Botham,0.3376164447838545,0.17221626724792222,0.2824830522718771,224
Mosaddek Hossain,0.3978824075547799,0.048788302153465066,0.2815177057543416,225
IJL Trott,0.42600677398983555,-0.009357750652246598,0.28088526577580814,226
K Verreynne,0.3350026389310596,0.17062837014153034,0.2802112160012165,227
AC Gilchrist,0.27389148094313626,0.2905567114828302,0.2794465577897009,228
AK Markram,0.34058387222211817,0.15609201600605097,0.2790865868167624,229
BN Cooper,0.3294233485588682,0.17432559835125108,0.27772409848966245,230
H Masakadza,0.3877446360589446,0.05219625628864174,0.27589517613551034,231
PR Reiffel,0.36741099110554926,0.0919735714607495,0.275598517890616,232
R Ashwin,0.3525691964999685,0.1204772290042825,0.2752052073347398,233
R Ravindra,0.33114001799275355,0.15791820974314447,0.27339941524288386,234
AF Giles,0.3663421721526353,0.08598910132855975,0.2728911485446101,235
KJ Coetzer,0.3501199231144994,0.11792445308342026,0.2727214331041397,236
Amjad Javed,0.33127365732043224,0.15227738148260309,0.27160823204115586,237
FDM Karunaratne,0.3519820585881887,0.11037317861226209,0.27144576526287983,238
JJ Smit,0.3305386828881727,0.15308622956166354,0.2713878651126696,239
Samiullah Shinwari,0.37581183686161695,0.06013541900190388,0.2705863642417126,240
IA Karim,0.39577378699442173,0.02006273273459798,0.2705367689078138,241
T Banton,0.2947130159325364,0.22126128185972593,0.27022910457493293,242
GH Dockrell,0.34395294125484166,0.122349362276019,0.2700850815952341,243
CJ Anderson,0.29535174562855804,0.21723128282625945,0.2693115913611252,244
JT Smuts,0.358137757077971,0.09044271091465139,0.26890607502353114,245
I Udana,0.2840322945059508,0.2339317951272201,0.2673321280463739,246
SP Krishnamurthi,0.2908278857252632,0.21953205229832817,0.26706260791628483,247
IK Pathan,0.3471733355682535,0.1048767501871483,0.2664078071078851,248
RR Sarwan,0.3841138998696801,0.030565917037981994,0.26626457225911404,249
CH Gayle,0.30685657369545927,0.18448508916945663,0.2660660788534584,250
A Johnson,0.28071989849826456,0.2348697636164096,0.2654365202043129,251
TT Samaraweera,0.3792832004689942,0.036755976467605485,0.265107459135198,252
JW Jenner,0.33730949953557077,0.11657238013930622,0.2637304597368159,253
MJ Guptill,0.34981875847741617,0.08970226588496458,0.263113260946599,254
JJ Roy,0.30647725132189685,0.16540210350905113,0.25945220205094827,255
Shakib Al Hasan,0.32748254493431533,0.12269609874674432,0.259220396205125,256
VG Kambli,0.33550011182074946,0.10568139493006276,0.25889387285718723,257
JN Rhodes,0.34910127183055045,0.07316968116276544,0.2571240749412888,258
AH Jones,0.42161746060904326,-0.07245394544465883,0.2569269919244759,259
HE van der Dussen,0.38119601255165747,0.006095415139976988,0.2561624800810973,260
DS Smith,0.35533053852581586,0.0553529019118924,0.2553379929878414,261
M Jansen,0.28933300418905195,0.18426948798866008,0.25431183212225467,262
EJG Morgan,0.2959350502543289,0.16871881439492786,0.25352963830119524,263
CR Woakes,0.31429812762346654,0.13109589687553377,0.25323071737415564,264
A Sharafu,0.32013379459967656,0.11919741293045999,0.2531550007099377,265
JD Ryder,0.31128646811834987,0.13657746530327064,0.2530501338466568,266
Yasir Hameed,0.33371369875409246,0.08818211770045768,0.25186983840288085,267
DAJ Bracewell,0.31727298100933515,0.12025914169501394,0.25160170123789477,268
DM Bravo,0.38025202448418927,-0.006200267869685915,0.2514345936995642,269
Rahmat Shah,0.3675259250232403,0.01753230184502641,0.25086138396383567,270
Karim Sadiq,0.31964069979376164,0.11302528035830621,0.25076889331527646,271
Imam-ul-Haq,0.37071887838988893,0.010653752485728767,0.25069716975516887,272
PD Collingwood,0.32695564970659524,0.09505601146989166,0.2496557702943607,273
Q de Kock,0.2819111440241834,0.18463633971178142,0.24948620925338272,274
HH Gibbs,0.3077226999116504,0.1313704692444475,0.24893862302258277,275
DJG Sammy,0.22434040142633144,0.29806819717880545,0.24891633334382277,276
AJ Stewart,0.3511183575820339,0.04388745095555118,0.2487080553732063,277
Basil Hameed,0.3134594844853056,0.11916472110436858,0.2486945633583266,278
Umar Akmal,0.3030282619163303,0.13975603320001156,0.24860418567755738,279
AN Kervezee,0.3439814852131183,0.05540769345641627,0.2477902212942176,280
TM Head,0.26513942722882977,0.2092179090878449,0.2464989211818348,281
E Lewis,0.2782307364580674,0.1812071287246377,0.2458895338802575,282
Ravinderpal Singh,0.2802088982733093,0.1770963336793079,0.24583804340864215,283
N Pooran,0.273046997041712,0.19098304924671441,0.24569234777671278,284
AA Jangoo,0.34470170501627745,0.04744064989213478,0.24561468664156325,285
MA Leask,0.24709423695168095,0.24249535642483738,0.24556127677606643,286
SC Williams,0.3092526886315125,0.11779452784208137,0.2454333017017021,287
