player_name,psi_log_econ,psi_log_avg,psi_combined,rank
Yuvraj Singh,0.06764892730536345,-0.037825541580934256,0.002667385285501686,377
S Joseph,0.04543952795695896,-0.026092418371475412,0.0022484362619972892,378
PCR Tufnell,-0.05955325320216195,0.027172146339785583,0.0017363201741969272,379
A Symonds,-0.04008808419543615,0.017490436337314973,0.0017024038402687347,380
RJ Peterson,0.056423743576736136,-0.03076469814593179,0.0017018842383758153,381
MA Leask,0.06849862506491779,-0.03669336500530726,0.0016293683152322446,382
Ahsan Malik,0.03337129175463593,-0.019120900722665205,0.0016235032302314943,383
Karan KC,0.05624389290228365,-0.03046635658598767,0.0015629400898972319,384
M Jansen,0.06511797473693444,-0.03388800517084095,0.0008860118682491545,385
PM Siddle,-0.07403774145251972,0.03614607564588176,0.0005818633869187351,386
RAS Lakmal,0.013932251399229652,-0.0076400616083952405,0.0004492906058536095,387
JO Holder,-0.04568168611505733,0.02222754618546061,0.00040886458137870396,388
AG Cremer,0.02920012307330433,-0.015129295106588087,0.0003528223799572812,389
EAE Baptiste,-0.09533939471908034,0.047723544374387195,-3.589800989801476e-05,390
RMH Binny,0.03982835378247019,-0.01940951108784637,-0.0003364438689258166,391
DK Morrison,0.045594547165218165,-0.022043096636336277,-0.000502784630848537,392
KM Jarvis,0.002514744899945432,7.438111747677999e-05,-0.0008878357116329973,393
DG Cork,0.026266564564610687,-0.011478673420623364,-0.001103072574454653,394
SB Joshi,-0.056305688890152666,0.02982683472487188,-0.0011159935198636988,395
AU Rashid,0.03060892438730256,-0.012493897378506348,-0.0018737098767632882,396
RJ Shastri,-0.06598020350118125,0.0358382231907668,-0.001898747626784117,397
JL Pattinson,-0.015068121718892529,0.010631080937032203,-0.002064680051723959,398
MDK Perera,0.041242183242625734,-0.017264675463513526,-0.002237610771866227,399
RP Snell,0.02561900998248009,-0.009233180258441637,-0.0023842164885322717,400
Sohail Khan,0.06769391204236634,-0.029631901328823457,-0.0028100364615731427,401
RS Bopara,-0.03043407591543008,0.019751973240037895,-0.0030232901882152365,402
Ali Khan,0.062109200890327475,-0.026092538155270673,-0.003308041526595376,403
Abdur Razzak,-0.025388630820792873,0.019035228905772285,-0.004227275663583899,404
DJ Hussey,0.02540469730662366,-0.006194916037560999,-0.004338288410500554,405
DE Malcolm,0.05781259452754322,-0.021748878846359218,-0.004771612278274928,406
CH Gayle,0.004288357417520569,0.005374008675878192,-0.005012124923092318,407
WW Davis,-0.017622173237606398,0.016791103909016232,-0.005320011526808689,408
BC Strang,-0.059221463002943994,0.03777729457674639,-0.005444375383516262,409
MJ Potts,-0.025740844438918796,0.02139148601351653,-0.005680709196038088,410
WW Hinds,0.051390682616351366,-0.01714411351209307,-0.005700818530721743,411
CC Lewis,0.008661138984370398,0.004253480681864094,-0.005722700116032862,412
AS Joseph,0.022257536818309602,-0.0017990228930095335,-0.006219830344096845,413
NP Kenjige,0.004650304021913143,0.007497815270770057,-0.006548644854484419,414
BKV Prasad,0.0034558988008751277,0.0085174620094428,-0.006830274273253577,415
SI Kamea,0.0596303364670063,-0.019286794669122552,-0.007018915709587066,416
AC Agar,-0.07390370185044103,0.04749374394861128,-0.00702792868226051,417
Nasum Ahmed,-0.019374427672956464,0.020412621221282568,-0.0071502715898695566,418
