player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank
300,DC Boon,0.5786488513176985,-0.030738756452813754,0.27395504743244237,252
935,OF Smith,0.1693308869599836,0.37784083072343294,0.2735858588417083,253
632,KA Pollard,0.3555170755778326,0.19054458725710816,0.27303083141747037,254
1267,TT Samaraweera,0.5119562007064914,0.030572439199402387,0.27126431995294686,255
405,G Singh,0.46559615981274755,0.07571386490870953,0.27065501236072853,256
1339,Yasir Hameed,0.45841037170692833,0.08206764761550409,0.2702390096612162,257
776,MJG Rippon,0.4934501518002037,0.046511399598322054,0.2699807756992629,258
70,AM Rahane,0.45809109115023366,0.08148102115231023,0.26978605615127194,259
1137,SO Tikolo,0.44669466679747094,0.0928741231822615,0.2697843949898662,260
1138,SP Fleming,0.46635130797565444,0.07243951399931127,0.2693954109874829,261
318,DJ Hussey,0.39584192952003194,0.14124451766270948,0.2685432235913707,262
951,PD Collingwood,0.44677449482425674,0.08991658881013972,0.2683455418171982,263
46,AG Prince,0.5367671157184485,-0.0011831734625881822,0.26779197112793013,264
1046,RR Hendricks,0.42117830042749793,0.11379310139672753,0.2674857009121127,265
74,AN Kervezee,0.4828904932318681,0.05136120452319706,0.2671258488775326,266
547,JD Campbell,0.3391019353256685,0.19258937471061727,0.2658456550181429,267
847,Mohammad Saifuddin,0.4117871665268774,0.11811576646029254,0.264951466493585,268
725,M van Lingen,0.39419888715318874,0.1347961983730268,0.2644975427631078,269
251,CL Cairns,0.37854131214488057,0.14959419432219803,0.2640677532335393,270
884,ND McKenzie,0.5298902483332449,-0.0030239837496103335,0.2634331322918173,271
864,Mushfiqur Rahim,0.44545316332780277,0.08131004885175001,0.2633816060897764,272
773,MJ Prior,0.3707228056865596,0.15542826174607172,0.26307553371631565,273
157,BA King,0.378018218390448,0.1477862760091296,0.26290224719978883,274
138,Asif Ali,0.26421995796458747,0.26129100070018957,0.2627554793323885,275
57,AJ Stewart,0.4822304707159253,0.04047609510081249,0.2613532829083689,276
237,CG Williams,0.45685291418718343,0.06566540775810793,0.2612591609726457,277
1185,Shadab Khan,0.3093209200918334,0.21309031734216002,0.2612056187169967,278
1105,SB Styris,0.4162394285369456,0.1043788431201283,0.260309135828537,279
1343,Z Crawley,0.2920469767657601,0.22586280359886104,0.25895489018231055,280
349,DS Airee,0.39254430607480373,0.12416731349374821,0.25835580978427597,281
407,GA Hick,0.4500950736380255,0.06371592826026524,0.2569055009491454,282
453,H Thaker,0.4656405798794765,0.047706313667549335,0.2566734467735129,283
755,MG Bracewell,0.2816650311341414,0.2314792123714675,0.2565721217528044,284
1127,SM Davies,0.3182589128782708,0.1948382164396601,0.25654856465896547,285
1311,WG Jacks,0.2914064886588125,0.2191455796485653,0.25527603415368894,286
927,Nizakat Khan,0.3974179793238626,0.11224282727345236,0.25483040329865747,287
394,Fawad Alam,0.45237202067642024,0.0550583784363642,0.2537151995563922,288
1183,Sediqullah Atal,0.42083115386622977,0.08503195844827015,0.25293155615724994,289
1033,RK Paudel,0.42973549965228497,0.074457879448718,0.25209668955050146,290
94,Aamer Sohail,0.4400742418026765,0.06384634044729623,0.25196029112498636,291
486,Haris Sohail,0.45268753438723375,0.05066475373695193,0.2516761440620928,292
1293,V Shukla,0.3399513937961254,0.16213705624956107,0.25104422502284324,293
646,KJ O'Brien,0.33873816660023653,0.16286808716092846,0.2508031268805825,294
808,MS Wade,0.36642304209421694,0.13216654982001644,0.24929479595711668,295
660,KR Mayers,0.31131136330632325,0.18685040285957655,0.2490808830829499,296
1083,S Joseph,0.1919350929451098,0.3057447957588833,0.24883994435199655,297
1290,V Aravind,0.4618279088558609,0.03174148408944227,0.24678469647265158,298
840,Mohammad Nabi,0.3234485411912338,0.16599609499494483,0.2447223180930893,299
988,Pargat Singh,0.40637589256882395,0.08227491081621212,0.24432540169251804,300
75,AN Petersen,0.3769369980799886,0.11090696994391895,0.24392198401195378,301
1333,YK Pathan,0.22067170011987702,0.266919311702932,0.2437955059114045,302
99,Aasif Sheikh,0.39902379666291166,0.08831782033605727,0.24367080849948447,303
336,DM de Silva,0.3644132411258489,0.12271021410690311,0.243561727616376,304
690,LD Chandimal,0.43969728483605625,0.04630171249425854,0.24299949866515738,305
493,Hazratullah Zazai,0.327428537381968,0.15854906334498428,0.24298880036347614,306
893,NLTC Perera,0.21051974809148627,0.2745259294954959,0.2425228387934911,307
515,Imran Nazir,0.31610286061155934,0.1685793312102054,0.24234109591088238,308
899,NO Miller,0.472148962110623,0.012532305064995546,0.24234063358780927,309
298,DAS Gunaratne,0.36883058894174614,0.11422936792202844,0.24152997843188728,310
915,Najmul Hossain Shanto,0.39672248696272955,0.08611939944181635,0.24142094320227295,311
136,Asghar Afghan,0.41245708324898844,0.07029702980195268,0.24137705652547056,312
98,Aaron Jones,0.4330193771906672,0.04833300139845053,0.24067618929455886,313
901,NR Kirton,0.3890094964322144,0.09094676089874848,0.23997812866548143,314
730,MA Jones,0.3875835273869017,0.09152087245336779,0.23955219992013477,315
48,AH Jones,0.5658493860449924,-0.08689331490618953,0.23947803556940142,316
540,JAD Lawrenson,0.451356957476164,0.027540876585040144,0.23944891703060206,317
636,KC Wessels,0.5237851193951754,-0.0452315728575759,0.23927677326879973,318
794,MP Vaughan,0.4295929251055662,0.047741165621372,0.23866704536346908,319
596,JP Greaves,0.3221681666937227,0.15433318318968162,0.23825067494170216,320
551,JDP Oram,0.3227373760544911,0.1537397922878598,0.23823858417117544,321
638,KD Karthik,0.35916521829530745,0.11706385959211733,0.2381145389437124,322
191,BR McDermott,0.43288842060821686,0.04281489154690902,0.23785165607756295,323
671,Kamran Akmal,0.31021406970222787,0.16480090435365946,0.23750748702794366,324
1351,Zeeshan Maqsood,0.43023172185731445,0.044671214315305,0.23745146808630974,325
815,MW Goodwin,0.45149875155494384,0.022937129626199565,0.23721794059057172,326
1093,S Samarawickrama,0.26984558120843344,0.20444307985715587,0.23714433053279466,327
683,Kushal Malla,0.29605807196670664,0.17808414681135099,0.2370711093890288,328
905,NS Dhaliwal,0.4564914637981683,0.016724398686007128,0.2366079312420877,329
1058,RV Uthappa,0.3401494178572216,0.1324924038082214,0.2363209108327215,330
621,K Bhurtel,0.3521893898963187,0.12033089041137468,0.2362601401538467,331
869,N Davin,0.2928151692387106,0.1796280709294992,0.2362216200841049,332
290,D Wiese,0.3193247627460613,0.15305047863630628,0.2361876206911838,333
539,JA Rudolph,0.4712233848824439,0.0006544845831359587,0.23593893473278993,334
1001,R Shepherd,0.2325604655010551,0.23911921795771388,0.2358398417293845,335
1218,Soumya Sarkar,0.29554709696334464,0.17612553828890273,0.23583631762612367,336
174,BJ Haddin,0.33349710288878937,0.13786185293387757,0.23567947791133348,337
463,HH Dippenaar,0.48310446997564577,-0.016131796280192987,0.23348633684772638,338
654,KNA Bandara,0.45718028099684355,0.00952719527842344,0.2333537381376335,339
1115,SF Mire,0.3442851314492664,0.12230134012322288,0.23329323578624467,340
206,C Kieswetter,0.35392370191105915,0.11222001682707582,0.2330718593690675,341
265,CR Ervine,0.41267828867907874,0.05290340479768664,0.23279084673838268,342
943,PA Jaques,0.38362758144958276,0.07966929500256488,0.2316484382260738,343
330,DL Houghton,0.438683476679735,0.02459031848171494,0.23163689758072498,344
734,MA Taylor,0.5216037121009757,-0.05915386416899667,0.2312249239659895,345
165,BC Broad,0.5677835413503692,-0.10706116513983435,0.23036118810526746,346
1113,SE Marsh,0.42695362440739754,0.03236507795945316,0.22965935118342534,347
