player_idx,player_name,psi_log_avg,psi_log_sr,psi_combined,rank,avg_multiplier,sr_multiplier
122,Aminul Islam,-0.0006738655970809,-0.1717438014716182,-0.05769717755525999,853,0.9993263613993494,0.8421949146287361
475,HR Walsh,-0.0655853445138567,-0.042448028626457,-0.05787290588472346,854,0.9365191165801532,0.9584402756841707
344,DR Flynn,-0.0662953346240693,-0.0422937223069085,-0.0582947971850157,855,0.9358544332565708,0.958588180486648
665,KTGD Prasad,-0.146947609056123,0.1166808902040941,-0.05907144263605063,856,0.8633392073874497,1.1237607693978044
1018,RG Aga,-0.0919619179650121,0.0066313821361566,-0.059097484597955864,857,0.9121398850267027,1.0066534184341154
574,JL Ontong,-0.1283876082573342,0.0784643094783509,-0.05943696901210583,858,0.8795124067957619,1.0816247507217926
1213,Sohag Gazi,-0.1035320874981826,0.0256603660744702,-0.06046793630729833,859,0.9016470906782956,1.0259924274563108
527,J Kila,-0.12228561482644,0.0593609140296444,-0.061736771874411865,860,0.8848955931049026,1.0611581585028813
535,JA McCollum,-0.0602218985228034,-0.0684831984610406,-0.06297566516888246,861,0.9415555806094533,0.9338091494025246
248,CJO Smith,-0.0896675162361476,-0.0192615410660691,-0.06619885784612144,862,0.9142351030726767,0.9809227771016383
484,Harbhajan Singh,-0.1733543721540522,0.1473579901850071,-0.06645025137436576,863,0.8408395919048307,1.1587687166138108
342,DP Hyatt,-0.0889709835522261,-0.0264013710981734,-0.06811444606754187,864,0.9148721195283915,0.9739440981354317
1041,RO Hinds,-0.051560716443877,-0.1042406760288635,-0.06912070297220584,865,0.9497459830128762,0.9010084201951317
729,MA Ealham,-0.0233860611378925,-0.1609934845942731,-0.06925520229001937,866,0.9768852735245659,0.8512976176384555
357,DT Tiripano,-0.0487886356481739,-0.1186800836212312,-0.07208578497252634,867,0.9523824081165965,0.8880918704554636
332,DLS van Bunge,-0.0635801251961833,-0.0904985829431994,-0.07255294444518867,868,0.9383989268901857,0.913475628346887
143,Azam Khan,-0.1296821632631266,0.036941968703102,-0.07414078594105039,869,0.8783745662643722,1.0376328039136258
1327,Waqas Khan,-0.015573813774455,-0.1914373459835208,-0.07419499117747694,870,0.9845468309518082,0.8257713613782072
1297,VD Philander,-0.1057523284476481,-0.0143092686024703,-0.07527130849925551,871,0.8996474375629068,0.9857926224072568
49,AH Omarshah,0.0171548382316716,-0.2609010226800206,-0.07553044873889246,872,1.0173028275018994,0.7703571637292908
553,JE Emburey,-0.0813614841428397,-0.0646631960337368,-0.07579538810647206,873,0.9218603932931517,0.9373831245707122
649,KM Dabengwa,-0.0987929756131535,-0.0303653116417112,-0.0759837542893394,874,0.9059302382633144,0.9700910832438094
383,FC Hayes,0.0063679752022532,-0.2421953257340694,-0.07648645844318767,875,1.0063882938630204,0.784902850852476
1164,SW Poynter,-0.1120754100189015,-0.0064763846104633,-0.07687573488275544,876,0.8939768401480043,0.9935445419677873
788,MO Jones,-0.0999529330346109,-0.03340061183157,-0.0777688259669306,877,0.9048800069896555,0.9671510298242477
1219,Sufyan Mehmood,-0.0616084460235905,-0.1156050737476382,-0.0796073219316064,878,0.940250973731021,0.8908269647916339
95,Aamir Kaleem,-0.1012673953969465,-0.0370417180008108,-0.07985883626490127,879,0.9036913576665832,0.9636359335458329
488,Hasan Ali,-0.288105782175468,0.3361681945013067,-0.0800144566165431,880,0.7496822850214508,1.399574405734701
11,A Nao,-0.1698758361736335,0.095851578876891,-0.081300031156792,881,0.8437695757516973,1.1005957002210458
346,DR Pringle,-0.0417286603088812,-0.1614915982609442,-0.08164963962623553,882,0.9591299953042642,0.8508736802539733
1281,U Bhatti,-0.1184104212538227,-0.0098240361255969,-0.0822149595444141,883,0.8883313877046696,0.9902240620822634
845,Mohammad Rafique,-0.1799083042407899,0.1094545812443554,-0.0834540090790748,884,0.8353468056590831,1.1156693974686498
1196,Shakeel Ahmed,-0.0764189490766118,-0.1049509867097877,-0.08592962828767044,885,0.9264279990907137,0.90036865153482
430,GM Ewing,-0.1769791311701128,0.0906215186680368,-0.08777891455739627,886,0.8377972681892312,1.0948545448242133
230,CD Cumming,-0.0426495196700175,-0.178388427654121,-0.08789582233138533,887,0.9582471780072122,0.8366173950356843
896,NM Lyon,-0.1895703277822381,0.1113220836735043,-0.08927285729699064,888,0.827314531655236,1.1177548594751323
1340,Yasir Shah,-0.1668188213229874,0.0624731489461354,-0.09038816456661314,889,0.8463529385526505,1.0644658765035402
1191,Shahid Nazir,-0.1069396775158111,-0.0659057627452377,-0.09326170592561996,890,0.8985798759258192,0.9362190868512286
736,MA Wood,-0.222190904441974,0.1615285677197644,-0.09428441372139455,891,0.8007624806275162,1.1753060334921899
1192,Shahid Wasif,-0.0803863777942872,-0.1228397190664689,-0.0945374915516811,892,0.922759743624979,0.8844054045251075
1259,TM Odoyo,-0.0922295998363665,-0.0992492709405667,-0.09456949020443323,893,0.9118957543914722,0.9055169608240853
117,Al Sahariar,-0.1109503276861842,-0.0626151782383042,-0.09483861120355752,894,0.8949832037114905,0.9393048691027611
1198,Shamim Hossain,-0.1802068936765849,0.070435855955503,-0.09665931046588894,895,0.8350974171619264,1.0729757422195556
913,Naimur Rahman,-0.1233517177440259,-0.044440587149135,-0.09704800754572894,896,0.8839527060279716,0.9565324287239639
88,AS Joseph,-0.17517938971583,0.0581278110383642,-0.09741032279776525,897,0.8393064443191371,1.0598504476402009
28,AC Cummins,-0.1560231546695862,0.0179641593671369,-0.09802738332401183,898,0.8555393804100014,1.0181264854382954
