rank,player_name,psi_log_econ,psi_log_avg,psi_combined,rank
47,DL Vettori,-0.0912186516238697,-0.0291269937019887,0.0498242130092824,176
48,JA Richardson,-0.0553748513538844,-0.0467286267020974,0.0496107015860264,177
49,RP Singh,0.0115528647011749,-0.0791257195767182,0.0488995248174204,179
50,NW Bracken,0.0055731800167249,-0.0675167811899941,0.0431534607877544,195
51,Mustafizur Rahman,-0.0405316128306591,-0.0434283919430955,0.0424627989056167,198
52,ST Finn,-0.0350502263491533,-0.0458306505750791,0.0422371758331039,200
53,Shaheen Shah Afridi,0.0488509859247812,-0.0803239248386679,0.0372656212508515,216
54,RA Jadeja,-0.0663621231529833,-0.0225331042525147,0.0371427772193375,218
55,A Nortje,-0.0086071398397639,-0.0511542140882955,0.0369718560054516,221
56,CK Langeveldt,0.0949649555938162,-0.1026464963385845,0.0367760123611176,223
57,JM Anderson,-0.0523008982838731,-0.0268066816197611,0.0353047538411318,227
58,BJ McCarthy,-0.0126199023452531,-0.0449300728125853,0.0341600159901412,231
59,KAJ Roach,-0.0647189319863486,-0.0170525077908456,0.0329413158560133,238
60,B Lee,0.023192274209261,-0.0570529959918392,0.0303045725914724,243
61,T Panyangara,-0.0503621700431535,-0.0170609289426882,0.0281613426428433,247
62,A Dananjaya,-0.0004465057056034,-0.0415270908974459,0.0278335625001651,248
63,SR Watson,-0.0210269403447214,-0.0272599606923865,0.0251822872431648,257
64,Harbhajan Singh,-0.0260597159370545,-0.024154902456264,0.0247898402831941,260
65,ZG Foulkes,-0.045612125483908,-0.0142321260349368,0.0246921258512605,261
66,AR McBrine,-0.0649166169546862,-0.0037087130182604,0.0241113476637357,262
67,MJ Santner,-0.0696203511231808,-0.0006534518101741,0.023642418247843,265
68,Hasan Ali,-0.0192686006479826,-0.024665638229918,0.0228666257026062,270
69,G Motie,-0.04010538582499,-0.01403914131101,0.0227278894823366,271
70,MR Adair,-0.0138273617107421,-0.0246944432135444,0.0210720827126103,283
71,Mohammed Siraj,-0.0421144556245437,-0.0103355916077114,0.0209285462799888,284
72,TG Southee,-0.0246902149604788,-0.0180491198594967,0.0202628182264907,290
